"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.3"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","4.2"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","4.1"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","5.7"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","3.7"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Chronically Absent Students","Percent","6.7"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Chronically Absent Students","Percent","4.6"
"Achievement First Bridgeport Academy District","","2017-2018","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2017-2018","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2017-2018","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Eligible For Free Lunch","Chronically Absent Students","Percent","7.3"
"Achievement First Bridgeport Academy District","","2018-2019","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2018-2019","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Eligible For Free Lunch","Chronically Absent Students","Percent","8.9"
"Achievement First Bridgeport Academy District","","2019-2020","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2019-2020","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","8.1"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.4"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","6.1"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","10.6"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","10.1"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2016-2017","Eligible For Free Lunch","Chronically Absent Students","Percent","9.1"
"Achievement First Hartford Academy District","","2016-2017","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2016-2017","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2017-2018","Eligible For Free Lunch","Chronically Absent Students","Percent","6.5"
"Achievement First Hartford Academy District","","2017-2018","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2017-2018","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2018-2019","Eligible For Free Lunch","Chronically Absent Students","Percent","6.0"
"Achievement First Hartford Academy District","","2018-2019","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2018-2019","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2019-2020","Eligible For Free Lunch","Chronically Absent Students","Percent","9.9"
"Achievement First Hartford Academy District","","2019-2020","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2019-2020","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","3.0"
"Amistad Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.7"
"Amistad Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
