"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.3"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","4.2"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","4.1"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","5.7"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","3.7"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","8.1"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.4"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","6.1"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","10.6"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","10.1"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","-6666"
"Amistad Academy District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","3.0"
"Amistad Academy District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","3.7"
"Amistad Academy District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Amistad Academy District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","4.8"
"Amistad Academy District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","0.0"
"Amistad Academy District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","0.0"
"Amistad Academy District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","6.7"
"Amistad Academy District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","7.1"
"Amistad Academy District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","0.0"
"Andover School District","","2012-2013","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","Not Eligible For Lunch","Chronically Absent Students","Percent","3.2"
"Andover School District","","2013-2014","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2013-2014","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2013-2014","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Eligible For Free Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Eligible For Reduced Lunch","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Not Eligible For Lunch","Chronically Absent Students","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Eligible For Free Lunch","Chronically Absent Students","Percent","16.2"
"Ansonia School District","900901220","2011-2012","Eligible For Reduced Lunch","Chronically Absent Students","Percent","9.0"
"Ansonia School District","900901220","2011-2012","Not Eligible For Lunch","Chronically Absent Students","Percent","7.1"
