"Chronic Absenteeism, 2019-20"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Chronically Absent",
"District","District Code","Free/Reduced Price Meal Eligibility","Student Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","Eligible For Free Lunch",61,8.9
"Achievement First Bridgeport Academy District","=""2850013""","Eligible For Reduced Lunch","*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Not Eligible For Lunch","*","*"
"Achievement First Hartford Academy District","=""2880013""","Eligible For Free Lunch",85,9.9
"Achievement First Hartford Academy District","=""2880013""","Eligible For Reduced Lunch","*","*"
"Achievement First Hartford Academy District","=""2880013""","Not Eligible For Lunch","*","*"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",86,12.0
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch",6,6.9
"Amistad Academy District","=""2790013""","Not Eligible For Lunch",10,3.6
"Andover School District","=""0010011""","Eligible For Free Lunch","*","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*","*"
"Andover School District","=""0010011""","Not Eligible For Lunch",10,8.3
"Ansonia School District","=""0020011""","Eligible For Free Lunch",272,20.7
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",12,8.2
"Ansonia School District","=""0020011""","Not Eligible For Lunch",58,8.0
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",255,26.4
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",12,9.0
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",138,19.4
"Ashford School District","=""0030011""","Eligible For Free Lunch",19,"*"
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*","*"
"Ashford School District","=""0030011""","Not Eligible For Lunch","*","*"
"Avon School District","=""0040011""","Eligible For Free Lunch",44,18.1
"Avon School District","=""0040011""","Eligible For Reduced Lunch",7,14.9
"Avon School District","=""0040011""","Not Eligible For Lunch",195,6.8
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch",0,"*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch","*","*"
